"地域（2020年基準） コード","地域（2020年基準）","時間軸（年・月） コード","時間軸（年・月）","2020年基準品目 コード","2020年基準品目","/表章項目","指数","前月比・前年比・前年度比【%】","前年同月比【%】"
"00049","北陸地方","2020000606","2020年6月","0054","0054 光熱・水道","","100.8","-0.1","-1.4"
"00050","東海地方","2025001212","2025年12月","0001","0001 総合","","113.4","-0.3","2.1"
"00050","東海地方","2025001212","2025年12月","0002","0002 食料","","128.2","-0.2","5.4"
"00050","東海地方","2025001212","2025年12月","0054","0054 光熱・水道","","120.2","-0.4","-1.8"
"00050","東海地方","2025000606","2025年6月","0001","0001 総合","","112.2","0.0","3.3"
"00050","東海地方","2025000606","2025年6月","0002","0002 食料","","124.2","0.5","7.6"
"00050","東海地方","2025000606","2025年6月","0054","0054 光熱・水道","","123.7","-0.4","3.7"
"00050","東海地方","2024001212","2024年12月","0001","0001 総合","","111.1","0.5","3.9"
"00050","東海地方","2024001212","2024年12月","0002","0002 食料","","121.6","0.8","6.5"
"00050","東海地方","2024001212","2024年12月","0054","0054 光熱・水道","","122.3","4.2","12.4"
"00050","東海地方","2024000606","2024年6月","0001","0001 総合","","108.6","0.2","3.0"
"00050","東海地方","2024000606","2024年6月","0002","0002 食料","","115.4","-0.3","3.6"
"00050","東海地方","2024000606","2024年6月","0054","0054 光熱・水道","","119.3","3.0","8.7"
"00050","東海地方","2023001212","2023年12月","0001","0001 総合","","106.9","-0.2","2.3"
"00050","東海地方","2023001212","2023年12月","0002","0002 食料","","114.2","-0.6","6.4"
"00050","東海地方","2023001212","2023年12月","0054","0054 光熱・水道","","108.8","0.0","-16.7"
"00050","東海地方","2023000606","2023年6月","0001","0001 総合","","105.4","-0.1","3.3"
"00050","東海地方","2023000606","2023年6月","0002","0002 食料","","111.4","0.3","7.8"
"00050","東海地方","2023000606","2023年6月","0054","0054 光熱・水道","","109.7","-0.9","-6.7"
"00050","東海地方","2022001212","2022年12月","0001","0001 総合","","104.6","0.2","4.4"
"00050","東海地方","2022001212","2022年12月","0002","0002 食料","","107.3","-0.2","6.2"
"00050","東海地方","2022001212","2022年12月","0054","0054 光熱・水道","","130.6","3.9","22.5"
"00050","東海地方","2022000606","2022年6月","0001","0001 総合","","102","0.0","2.4"
"00050","東海地方","2022000606","2022年6月","0002","0002 食料","","103.4","0.2","3.3"
"00050","東海地方","2022000606","2022年6月","0054","0054 光熱・水道","","117.5","0.4","16.7"
"00050","東海地方","2021001212","2021年12月","0001","0001 総合","","100.2","0.0","0.9"
"00050","東海地方","2021001212","2021年12月","0002","0002 食料","","101","0.2","2.2"
"00050","東海地方","2021001212","2021年12月","0054","0054 光熱・水道","","106.6","1.1","11.1"
"00050","東海地方","2021000606","2021年6月","0001","0001 総合","","99.7","0.2","-0.3"
"00050","東海地方","2021000606","2021年6月","0002","0002 食料","","100.1","0.7","0.4"
"00050","東海地方","2021000606","2021年6月","0054","0054 光熱・水道","","100.7","0.5","0.0"
"00050","東海地方","2020001212","2020年12月","0001","0001 総合","","99.3","-0.2","-1.3"
"00050","東海地方","2020001212","2020年12月","0002","0002 食料","","98.9","-0.7","-0.8"
"00050","東海地方","2020001212","2020年12月","0054","0054 光熱・水道","","96","-1.2","-6.7"
"00050","東海地方","2020000606","2020年6月","0001","0001 総合","","99.9","-0.1","-0.3"
"00050","東海地方","2020000606","2020年6月","0002","0002 食料","","99.7","-0.4","1.3"
"00050","東海地方","2020000606","2020年6月","0054","0054 光熱・水道","","100.7","-0.1","-2.4"
"00051","近畿地方","2025001212","2025年12月","0001","0001 総合","","112.8","-0.1","2.2"
"00051","近畿地方","2025001212","2025年12月","0002","0002 食料","","128.7","0.2","5.1"
"00051","近畿地方","2025001212","2025年12月","0054","0054 光熱・水道","","113.7","-0.4","-1.4"
"00051","近畿地方","2025000606","2025年6月","0001","0001 総合","","111.5","-0.1","3.3"
"00051","近畿地方","2025000606","2025年6月","0002","0002 食料","","124.6","0.2","7.0"
"00051","近畿地方","2025000606","2025年6月","0054","0054 光熱・水道","","116.3","-0.6","4.2"
"00051","近畿地方","2024001212","2024年12月","0001","0001 総合","","110.4","0.6","3.7"
"00051","近畿地方","2024001212","2024年12月","0002","0002 食料","","122.5","0.9","5.9"
"00051","近畿地方","2024001212","2024年12月","0054","0054 光熱・水道","","115.3","5.0","14.3"
"00051","近畿地方","2024000606","2024年6月","0001","0001 総合","","107.9","0.1","3.0"
"00051","近畿地方","2024000606","2024年6月","0002","0002 食料","","116.4","-0.4","3.4"
"00051","近畿地方","2024000606","2024年6月","0054","0054 光熱・水道","","111.6","3.6","12.1"
"00051","近畿地方","2023001212","2023年12月","0001","0001 総合","","106.5","-0.1","2.5"
"00051","近畿地方","2023001212","2023年12月","0002","0002 食料","","115.7","-0.4","6.8"
"00051","近畿地方","2023001212","2023年12月","0054","0054 光熱・水道","","100.9","-0.4","-15.5"
"00051","近畿地方","2023000606","2023年6月","0001","0001 総合","","104.7","-0.2","3.2"
"00051","近畿地方","2023000606","2023年6月","0002","0002 食料","","112.7","0.1","8.7"
"00051","近畿地方","2023000606","2023年6月","0054","0054 光熱・水道","","99.6","-1.4","-12.0"
"00051","近畿地方","2022001212","2022年12月","0001","0001 総合","","103.8","0.1","3.9"
"00051","近畿地方","2022001212","2022年12月","0002","0002 食料","","108.3","0.0","7.0"
"00051","近畿地方","2022001212","2022年12月","0054","0054 光熱・水道","","119.3","2.0","11.8"
"00051","近畿地方","2022000606","2022年6月","0001","0001 総合","","101.5","0.0","2.0"
"00051","近畿地方","2022000606","2022年6月","0002","0002 食料","","103.7","0.2","3.8"
"00051","近畿地方","2022000606","2022年6月","0054","0054 光熱・水道","","113.2","0.2","10.7"
"00051","近畿地方","2021001212","2021年12月","0001","0001 総合","","100","0.0","0.7"
"00051","近畿地方","2021001212","2021年12月","0002","0002 食料","","101.2","-0.1","2.5"
"00051","近畿地方","2021001212","2021年12月","0054","0054 光熱・水道","","106.7","0.9","10.6"
"00051","近畿地方","2021000606","2021年6月","0001","0001 総合","","99.5","0.1","-0.5"
"00051","近畿地方","2021000606","2021年6月","0002","0002 食料","","99.9","0.7","0.1"
"00051","近畿地方","2021000606","2021年6月","0054","0054 光熱・水道","","102.3","0.5","2.3"
"00051","近畿地方","2020001212","2020年12月","0001","0001 総合","","99.2","-0.3","-1.2"
"00051","近畿地方","2020001212","2020年12月","0002","0002 食料","","98.7","-0.9","-0.8"
"00051","近畿地方","2020001212","2020年12月","0054","0054 光熱・水道","","96.4","-0.9","-5.7"
"00051","近畿地方","2020000606","2020年6月","0001","0001 総合","","100","-0.3","0.3"
"00051","近畿地方","2020000606","2020年6月","0002","0002 食料","","99.8","-0.5","1.5"
"00051","近畿地方","2020000606","2020年6月","0054","0054 光熱・水道","","100","-1.1","-2.0"
"00053","中国地方","2025001212","2025年12月","0001","0001 総合","","112.8","-0.2","1.9"
"00053","中国地方","2025001212","2025年12月","0002","0002 食料","","129.9","-0.1","5.1"
"00053","中国地方","2025001212","2025年12月","0054","0054 光熱・水道","","114.2","0.2","-2.2"
"00053","中国地方","2025000606","2025年6月","0001","0001 総合","","111.5","-0.2","3.1"
"00053","中国地方","2025000606","2025年6月","0002","0002 食料","","125.6","0.1","7.4"
"00053","中国地方","2025000606","2025年6月","0054","0054 光熱・水道","","116.3","-1.0","2.8"
"00053","中国地方","2024001212","2024年12月","0001","0001 総合","","110.7","0.6","3.7"
"00053","中国地方","2024001212","2024年12月","0002","0002 食料","","123.6","0.8","6.7"
"00053","中国地方","2024001212","2024年12月","0054","0054 光熱・水道","","116.7","4.2","11.5"
"00053","中国地方","2024000606","2024年6月","0001","0001 総合","","108.2","0.1","2.7"
"00053","中国地方","2024000606","2024年6月","0002","0002 食料","","117","-0.3","3.7"
"00053","中国地方","2024000606","2024年6月","0054","0054 光熱・水道","","113.2","3.1","3.1"
"00053","中国地方","2023001212","2023年12月","0001","0001 総合","","106.7","-0.1","2.1"
"00053","中国地方","2023001212","2023年12月","0002","0002 食料","","115.9","-0.4","6.7"
"00053","中国地方","2023001212","2023年12月","0054","0054 光熱・水道","","104.6","-1.0","-16.1"
"00053","中国地方","2023000606","2023年6月","0001","0001 総合","","105.4","0.1","3.3"
"00053","中国地方","2023000606","2023年6月","0002","0002 食料","","112.8","-0.1","8.4"
"00053","中国地方","2023000606","2023年6月","0054","0054 光熱・水道","","109.8","3.5","-3.6"
"00053","中国地方","2022001212","2022年12月","0001","0001 総合","","104.6","0.3","4.4"
"00053","中国地方","2022001212","2022年12月","0002","0002 食料","","108.6","0.4","7.1"
"00053","中国地方","2022001212","2022年12月","0054","0054 光熱・水道","","124.7","1.9","16.6"
"00053","中国地方","2022000606","2022年6月","0001","0001 総合","","102","0.1","2.4"
"00053","中国地方","2022000606","2022年6月","0002","0002 食料","","104","0.3","3.7"
"00053","中国地方","2022000606","2022年6月","0054","0054 光熱・水道","","113.9","0.3","12.6"
"00053","中国地方","2021001212","2021年12月","0001","0001 総合","","100.1","-0.1","0.7"
"00053","中国地方","2021001212","2021年12月","0002","0002 食料","","101.4","0.1","2.3"
"00053","中国地方","2021001212","2021年12月","0054","0054 光熱・水道","","106.9","0.8","10.1"
"00053","中国地方","2021000606","2021年6月","0001","0001 総合","","99.6","0.2","-0.3"
"00053","中国地方","2021000606","2021年6月","0002","0002 食料","","100.4","0.7","0.6"
"00053","中国地方","2021000606","2021年6月","0054","0054 光熱・水道","","101.1","0.7","0.1"
"00053","中国地方","2020001212","2020年12月","0001","0001 総合","","99.4","-0.1","-1.0"
"00053","中国地方","2020001212","2020年12月","0002","0002 食料","","99.1","-0.5","-0.2"
"00053","中国地方","2020001212","2020年12月","0054","0054 光熱・水道","","97.2","-0.2","-4.9"
"00053","中国地方","2020000606","2020年6月","0001","0001 総合","","99.9","-0.1","0.1"
"00053","中国地方","2020000606","2020年6月","0002","0002 食料","","99.8","-0.4","2.0"
"00053","中国地方","2020000606","2020年6月","0054","0054 光熱・水道","","101","-0.1","-1.2"
"00054","四国地方","2025001212","2025年12月","0001","0001 総合","","112","-0.4","1.9"
"00054","四国地方","2025001212","2025年12月","0002","0002 食料","","128.1","-0.2","5.6"
"00054","四国地方","2025001212","2025年12月","0054","0054 光熱・水道","","116.2","0.0","-1.5"
"00054","四国地方","2025000606","2025年6月","0001","0001 総合","","110.9","-0.1","3.0"
"00054","四国地方","2025000606","2025年6月","0002","0002 食料","","123.4","0.3","6.4"
"00054","四国地方","2025000606","2025年6月","0054","0054 光熱・水道","","118.6","-0.5","3.6"
"00054","四国地方","2024001212","2024年12月","0001","0001 総合","","109.9","0.5","3.4"
"00054","四国地方","2024001212","2024年12月","0002","0002 食料","","121.3","0.6","6.0"
"00054","四国地方","2024001212","2024年12月","0054","0054 光熱・水道","","118","4.4","10.3"
"00054","四国地方","2024000606","2024年6月","0001","0001 総合","","107.7","0.2","2.8"
"00054","四国地方","2024000606","2024年6月","0002","0002 食料","","116","-0.4","4.0"
"00054","四国地方","2024000606","2024年6月","0054","0054 光熱・水道","","114.5","3.3","6.9"
"00054","四国地方","2023001212","2023年12月","0001","0001 総合","","106.2","-0.1","3.2"
"00054","四国地方","2023001212","2023年12月","0002","0002 食料","","114.5","-0.5","6.6"
"00054","四国地方","2023001212","2023年12月","0054","0054 光熱・水道","","106.9","0.1","-4.0"
"00054","四国地方","2023000606","2023年6月","0001","0001 総合","","104.7","0.7","3.5"
"00054","四国地方","2023000606","2023年6月","0002","0002 食料","","111.5","0.1","8.2"
"00054","四国地方","2023000606","2023年6月","0054","0054 光熱・水道","","107.1","8.1","-4.7"
"00054","四国地方","2022001212","2022年12月","0001","0001 総合","","103","-0.1","3.3"
"00054","四国地方","2022001212","2022年12月","0002","0002 食料","","107.4","0.1","6.9"
"00054","四国地方","2022001212","2022年12月","0054","0054 光熱・水道","","111.3","-1.0","4.3"
"00054","四国地方","2022000606","2022年6月","0001","0001 総合","","101.2","0.1","1.9"
"00054","四国地方","2022000606","2022年6月","0002","0002 食料","","103","0.4","2.9"
"00054","四国地方","2022000606","2022年6月","0054","0054 光熱・水道","","112.4","0.4","10.7"
"00054","四国地方","2021001212","2021年12月","0001","0001 総合","","99.7","-0.1","0.1"
"00054","四国地方","2021001212","2021年12月","0002","0002 食料","","100.5","-0.1","1.2"
"00054","四国地方","2021001212","2021年12月","0054","0054 光熱・水道","","106.8","0.8","9.2"
"00054","四国地方","2021000606","2021年6月","0001","0001 総合","","99.2","0.2","-0.5"
"00054","四国地方","2021000606","2021年6月","0002","0002 食料","","100.1","0.7","0.4"
"00054","四国地方","2021000606","2021年6月","0054","0054 光熱・水道","","101.5","0.6","0.7"
"00054","四国地方","2020001212","2020年12月","0001","0001 総合","","99.6","-0.2","-1.0"
"00054","四国地方","2020001212","2020年12月","0002","0002 食料","","99.3","-0.6","-0.4"
"00054","四国地方","2020001212","2020年12月","0054","0054 光熱・水道","","97.8","0.1","-4.5"
"00054","四国地方","2020000606","2020年6月","0001","0001 総合","","99.7","-0.1","-0.3"
"00054","四国地方","2020000606","2020年6月","0002","0002 食料","","99.7","-0.3","1.2"
"00054","四国地方","2020000606","2020年6月","0054","0054 光熱・水道","","100.7","-0.1","-0.8"
"00056","九州地方","2025001212","2025年12月","0001","0001 総合","","113.1","-0.2","2.3"
"00056","九州地方","2025001212","2025年12月","0002","0002 食料","","131.2","0.1","5.3"
"00056","九州地方","2025001212","2025年12月","0054","0054 光熱・水道","","113.2","-0.2","-0.9"
"00056","九州地方","2025000606","2025年6月","0001","0001 総合","","111.7","-0.1","3.8"
"00056","九州地方","2025000606","2025年6月","0002","0002 食料","","126.5","0.2","8.2"
"00056","九州地方","2025000606","2025年6月","0054","0054 光熱・水道","","115.3","-0.3","4.5"
"00056","九州地方","2024001212","2024年12月","0001","0001 総合","","110.6","0.7","4.0"
"00056","九州地方","2024001212","2024年12月","0002","0002 食料","","124.6","1.2","7.5"
"00056","九州地方","2024001212","2024年12月","0054","0054 光熱・水道","","114.1","4.6","11.9"
"00056","九州地方","2024000606","2024年6月","0001","0001 総合","","107.6","0.1","3.2"
"00056","九州地方","2024000606","2024年6月","0002","0002 食料","","116.9","-0.4","3.7"
"00056","九州地方","2024000606","2024年6月","0054","0054 光熱・水道","","110.4","3.2","12.5"
"00056","九州地方","2023001212","2023年12月","0001","0001 総合","","106.3","0.0","2.7"
"00056","九州地方","2023001212","2023年12月","0002","0002 食料","","115.8","-0.4","6.9"
"00056","九州地方","2023001212","2023年12月","0054","0054 光熱・水道","","102","0.2","-11.0"
"00056","九州地方","2023000606","2023年6月","0001","0001 総合","","104.3","-0.2","2.8"
"00056","九州地方","2023000606","2023年6月","0002","0002 食料","","112.7","0.1","8.7"
"00056","九州地方","2023000606","2023年6月","0054","0054 光熱・水道","","98.2","-0.8","-11.4"
"00056","九州地方","2022001212","2022年12月","0001","0001 総合","","103.5","0.1","3.7"
"00056","九州地方","2022001212","2022年12月","0002","0002 食料","","108.4","-0.1","7.6"
"00056","九州地方","2022001212","2022年12月","0054","0054 光熱・水道","","114.6","1.0","8.9"
"00056","九州地方","2022000606","2022年6月","0001","0001 総合","","101.5","0.1","2.3"
"00056","九州地方","2022000606","2022年6月","0002","0002 食料","","103.7","0.5","3.8"
"00056","九州地方","2022000606","2022年6月","0054","0054 光熱・水道","","110.8","0.3","9.4"
"00056","九州地方","2021001212","2021年12月","0001","0001 総合","","99.8","-0.1","0.4"
"00056","九州地方","2021001212","2021年12月","0002","0002 食料","","100.8","-0.3","1.9"
"00056","九州地方","2021001212","2021年12月","0054","0054 光熱・水道","","105.2","0.7","7.0"
"00056","九州地方","2021000606","2021年6月","0001","0001 総合","","99.2","0.1","-0.6"
"00056","九州地方","2021000606","2021年6月","0002","0002 食料","","99.9","0.7","0.1"
"00056","九州地方","2021000606","2021年6月","0054","0054 光熱・水道","","101.2","0.3","0.9"
"00056","九州地方","2020001212","2020年12月","0001","0001 総合","","99.5","-0.2","-0.9"
"00056","九州地方","2020001212","2020年12月","0002","0002 食料","","98.9","-0.7","-0.1"
"00056","九州地方","2020001212","2020年12月","0054","0054 光熱・水道","","98.3","-0.5","-3.0"
"00056","九州地方","2020000606","2020年6月","0001","0001 総合","","99.8","-0.2","0.4"
"00056","九州地方","2020000606","2020年6月","0002","0002 食料","","99.8","-0.1","2.1"
"00056","九州地方","2020000606","2020年6月","0054","0054 光熱・水道","","100.3","-0.3","-0.7"
"00057","沖縄地方","2025001212","2025年12月","0001","0001 総合","","115.3","-0.4","2.1"
"00057","沖縄地方","2025001212","2025年12月","0002","0002 食料","","132.4","-0.6","4.6"
"00057","沖縄地方","2025001212","2025年12月","0054","0054 光熱・水道","","119.9","-0.2","-2.0"
"00057","沖縄地方","2025000606","2025年6月","0001","0001 総合","","113.8","0.1","4.0"
"00057","沖縄地方","2025000606","2025年6月","0002","0002 食料","","128.9","0.6","7.9"
"00057","沖縄地方","2025000606","2025年6月","0054","0054 光熱・水道","","123.7","0.1","6.7"
"00057","沖縄地方","2024001212","2024年12月","0001","0001 総合","","112.9","0.6","4.5"
"00057","沖縄地方","2024001212","2024年12月","0002","0002 食料","","126.6","0.5","7.6"
"00057","沖縄地方","2024001212","2024年12月","0054","0054 光熱・水道","","122.3","3.4","11.4"
"00057","沖縄地方","2024000606","2024年6月","0001","0001 総合","","109.5","-0.1","2.1"
"00057","沖縄地方","2024000606","2024年6月","0002","0002 食料","","119.4","-0.6","3.2"
"00057","沖縄地方","2024000606","2024年6月","0054","0054 光熱・水道","","116","2.7","-2.6"
"00057","沖縄地方","2023001212","2023年12月","0001","0001 総合","","108","-0.3","3.6"
"00057","沖縄地方","2023001212","2023年12月","0002","0002 食料","","117.7","-0.8","7.5"
"00057","沖縄地方","2023001212","2023年12月","0054","0054 光熱・水道","","109.8","-0.6","-4.0"
"00057","沖縄地方","2023000606","2023年6月","0001","0001 総合","","107.2","1.2","4.6"
"00057","沖縄地方","2023000606","2023年6月","0002","0002 食料","","115.8","0.6","9.7"
"00057","沖縄地方","2023000606","2023年6月","0054","0054 光熱・水道","","119.1","13.2","2.7"
"00057","沖縄地方","2022001212","2022年12月","0001","0001 総合","","104.2","-0.4","3.7"
"00057","沖縄地方","2022001212","2022年12月","0002","0002 食料","","109.4","-0.7","7.9"
"00057","沖縄地方","2022001212","2022年12月","0054","0054 光熱・水道","","114.4","-1.7","4.4"
"00057","沖縄地方","2022000606","2022年6月","0001","0001 総合","","102.5","0.3","2.9"
"00057","沖縄地方","2022000606","2022年6月","0002","0002 食料","","105.5","1.0","4.6"
"00057","沖縄地方","2022000606","2022年6月","0054","0054 光熱・水道","","115.9","0.1","13.5"
"00057","沖縄地方","2021001212","2021年12月","0001","0001 総合","","100.5","0.1","0.7"
"00057","沖縄地方","2021001212","2021年12月","0002","0002 食料","","101.4","-0.6","2.2"
"00057","沖縄地方","2021001212","2021年12月","0054","0054 光熱・水道","","109.5","3.9","11.1"
"00057","沖縄地方","2021000606","2021年6月","0001","0001 総合","","99.6","0.3","-0.1"
"00057","沖縄地方","2021000606","2021年6月","0002","0002 食料","","100.9","1.0","0.9"
"00057","沖縄地方","2021000606","2021年6月","0054","0054 光熱・水道","","102.2","1.1","3.2"
"00057","沖縄地方","2020001212","2020年12月","0001","0001 総合","","99.8","-0.1","-0.7"
"00057","沖縄地方","2020001212","2020年12月","0002","0002 食料","","99.3","-0.9","0.1"
"00057","沖縄地方","2020001212","2020年12月","0054","0054 光熱・水道","","98.6","0.4","-4.6"
"00057","沖縄地方","2020000606","2020年6月","0001","0001 総合","","99.7","-0.4","-0.2"
"00057","沖縄地方","2020000606","2020年6月","0002","0002 食料","","100","0.1","2.2"
"00057","沖縄地方","2020000606","2020年6月","0054","0054 光熱・水道","","98.9","-3.0","-2.5"